beverage_id,beverage_name,type,category,skill_level,prep_time_min,total_time_min,equipment,ingredients,instructions
170,American Coconut Water Smoothie 170,Smoothie,Smoothie,Intermediate,18,23,Blender,"coconut water:120ml,pineapple:99g,spinach:11g,honey:12g,ginger:11g",Prepare the glassware for the american coconut water smoothie 170|Combine coconut water with pineapple and spinach|Add honey and ginger and mix until balanced|Finish using Blender|Serve the american coconut water smoothie 170 immediately
171,Mediterranean Vodka Cocktail 171,Cocktail,Cocktail,Beginner,8,23,Blender,"vodka:37g,lemon juice:48ml,tonic water:45ml,basil:12g,pineapple:154g",Prepare the glassware for the mediterranean vodka cocktail 171|Combine vodka with lemon juice and tonic water|Add basil and pineapple and mix until balanced|Finish using Blender|Serve the mediterranean vodka cocktail 171 immediately
172,Global Pineapple Juice Mocktail 172,Mocktail,Mocktail,Beginner,11,19,Stove,"pineapple juice:220ml,honey:68g,rose syrup:282ml,strawberry:74g,basil:16g",Prepare the glassware for the global pineapple juice mocktail 172|Combine pineapple juice with honey and rose syrup|Add strawberry and basil and mix until balanced|Finish using Stove|Serve the global pineapple juice mocktail 172 immediately
173,Nordic Drip Coffee Coffee 173,Coffee,Coffee,Intermediate,9,19,Espresso Machine,"drip coffee:93ml,oat milk:50ml,condensed milk:52ml,ice:214g,vanilla syrup:47ml",Prepare the glassware for the nordic drip coffee coffee 173|Combine drip coffee with oat milk and condensed milk|Add ice and vanilla syrup and mix until balanced|Finish using Espresso Machine|Serve the nordic drip coffee coffee 173 immediately
174,Japanese Matcha Powder Tea 174,Tea,Tea,Beginner,7,15,Blender,"matcha powder:16g,lemon juice:169ml,honey:25g,cardamom:4g,ice:143g",Prepare the glassware for the japanese matcha powder tea 174|Combine matcha powder with lemon juice and honey|Add cardamom and ice and mix until balanced|Finish using Blender|Serve the japanese matcha powder tea 174 immediately
175,African Milk Smoothie 175,Smoothie,Smoothie,Beginner,16,25,Blender,"milk:93ml,oats:84g,mango:169g,peanut butter:70g,ginger:15g",Prepare the glassware for the african milk smoothie 175|Combine milk with oats and mango|Add peanut butter and ginger and mix until balanced|Finish using Blender|Serve the african milk smoothie 175 immediately
176,Latin Rum Cocktail 176,Cocktail,Cocktail,Intermediate,16,20,Blender,"rum:28g,orange juice:81ml,lime juice:156ml,berry syrup:66ml,mint:11g",Prepare the glassware for the latin rum cocktail 176|Combine rum with orange juice and lime juice|Add berry syrup and mint and mix until balanced|Finish using Blender|Serve the latin rum cocktail 176 immediately
177,Global Sparkling Water Mocktail 177,Mocktail,Mocktail,Beginner,19,30,Blender,"sparkling water:233ml,lemon juice:220ml,mint:15g,watermelon:86ml,basil:7g",Prepare the glassware for the global sparkling water mocktail 177|Combine sparkling water with lemon juice and mint|Add watermelon and basil and mix until balanced|Finish using Blender|Serve the global sparkling water mocktail 177 immediately
178,Italian Drip Coffee Coffee 178,Coffee,Coffee,Beginner,6,21,,"drip coffee:53ml,milk:271ml,water:218ml,brown sugar:58g,cardamom:15g",Prepare the glassware for the italian drip coffee coffee 178|Combine drip coffee with milk and water|Add brown sugar and cardamom and mix until balanced|Finish using a serving glass|Serve the italian drip coffee coffee 178 immediately
179,British Herbal Tea Tea 179,Tea,Tea,Intermediate,15,24,Stove,"herbal tea:224ml,honey:51g,milk:210ml,ginger:16g,rose petals:19g",Prepare the glassware for the british herbal tea tea 179|Combine herbal tea with honey and milk|Add ginger and rose petals and mix until balanced|Finish using Stove|Serve the british herbal tea tea 179 immediately
180,American Milk Smoothie 180,Smoothie,Smoothie,Intermediate,14,15,Blender,"milk:285ml,berries:56g,banana:146g,mint:6g,peanut butter:14g",Prepare the glassware for the american milk smoothie 180|Combine milk with berries and banana|Add mint and peanut butter and mix until balanced|Finish using Blender|Serve the american milk smoothie 180 immediately
181,Asian Gin Cocktail 181,Cocktail,Cocktail,Beginner,9,9,Blender,"gin:44g,soda water:38ml,lemon juice:189ml,pineapple:144g,passion fruit:45g",Prepare the glassware for the asian gin cocktail 181|Combine gin with soda water and lemon juice|Add pineapple and passion fruit and mix until balanced|Finish using Blender|Serve the asian gin cocktail 181 immediately
182,Indian Apple Juice Mocktail 182,Mocktail,Mocktail,Intermediate,18,24,Blender,"apple juice:236ml,rose syrup:116ml,ginger:10g,mango:53g,watermelon:78ml",Prepare the glassware for the indian apple juice mocktail 182|Combine apple juice with rose syrup and ginger|Add mango and watermelon and mix until balanced|Finish using Blender|Serve the indian apple juice mocktail 182 immediately
183,Global Espresso Coffee 183,Coffee,Coffee,Beginner,17,23,Blender,"espresso:86ml,oat milk:127ml,milk:125ml,cocoa:3g,brown sugar:14g",Prepare the glassware for the global espresso coffee 183|Combine espresso with oat milk and milk|Add cocoa and brown sugar and mix until balanced|Finish using Blender|Serve the global espresso coffee 183 immediately
184,British Black Tea Tea 184,Tea,Tea,Beginner,17,17,Stove,"black tea:90ml,mint:14g,milk:278ml,rose petals:19g,ginger:18g",Prepare the glassware for the british black tea tea 184|Combine black tea with mint and milk|Add rose petals and ginger and mix until balanced|Finish using Stove|Serve the british black tea tea 184 immediately
185,American Yogurt Smoothie 185,Smoothie,Smoothie,Intermediate,14,26,Blender,"yogurt:64g,pineapple:44g,mango:79g,honey:39g,mint:18g",Prepare the glassware for the american yogurt smoothie 185|Combine yogurt with pineapple and mango|Add honey and mint and mix until balanced|Finish using Blender|Serve the american yogurt smoothie 185 immediately
186,Tropical Tequila Cocktail 186,Cocktail,Cocktail,Intermediate,16,23,,"tequila:6g,soda water:174ml,lime juice:256ml,cucumber:53g,mint:12g",Prepare the glassware for the tropical tequila cocktail 186|Combine tequila with soda water and lime juice|Add cucumber and mint and mix until balanced|Finish using a serving glass|Serve the tropical tequila cocktail 186 immediately
187,European Sparkling Water Mocktail 187,Mocktail,Mocktail,Beginner,11,19,Stove,"sparkling water:298ml,rose syrup:67ml,honey:48g,cucumber:94g,watermelon:41ml",Prepare the glassware for the european sparkling water mocktail 187|Combine sparkling water with rose syrup and honey|Add cucumber and watermelon and mix until balanced|Finish using Stove|Serve the european sparkling water mocktail 187 immediately
188,Nordic Drip Coffee Coffee 188,Coffee,Coffee,Beginner,16,28,Blender,"drip coffee:247ml,oat milk:283ml,water:108ml,cocoa:6g,brown sugar:75g",Prepare the glassware for the nordic drip coffee coffee 188|Combine drip coffee with oat milk and water|Add cocoa and brown sugar and mix until balanced|Finish using Blender|Serve the nordic drip coffee coffee 188 immediately
189,British Herbal Tea Tea 189,Tea,Tea,Beginner,19,32,,"herbal tea:242ml,lemon juice:96ml,honey:79g,rose petals:56g,cardamom:9g",Prepare the glassware for the british herbal tea tea 189|Combine herbal tea with lemon juice and honey|Add rose petals and cardamom and mix until balanced|Finish using a serving glass|Serve the british herbal tea tea 189 immediately
190,Asian Almond Milk Smoothie 190,Smoothie,Smoothie,Intermediate,18,23,Blender,"almond milk:247ml,mango:120g,pineapple:172g,honey:41g,mint:10g",Prepare the glassware for the asian almond milk smoothie 190|Combine almond milk with mango and pineapple|Add honey and mint and mix until balanced|Finish using Blender|Serve the asian almond milk smoothie 190 immediately
191,Tropical Rum Cocktail 191,Cocktail,Cocktail,Intermediate,7,11,,"rum:81g,lime juice:215ml,tonic water:71ml,passion fruit:33g,pineapple:147g",Prepare the glassware for the tropical rum cocktail 191|Combine rum with lime juice and tonic water|Add passion fruit and pineapple and mix until balanced|Finish using a serving glass|Serve the tropical rum cocktail 191 immediately
192,Global Apple Juice Mocktail 192,Mocktail,Mocktail,Intermediate,16,22,Blender,"apple juice:125ml,mint:14g,lime juice:99ml,watermelon:30ml,pomegranate:56g",Prepare the glassware for the global apple juice mocktail 192|Combine apple juice with mint and lime juice|Add watermelon and pomegranate and mix until balanced|Finish using Blender|Serve the global apple juice mocktail 192 immediately
193,Italian Espresso Coffee 193,Coffee,Coffee,Intermediate,12,25,Blender,"espresso:31ml,almond milk:236ml,condensed milk:140ml,ice:139g,vanilla syrup:90ml",Prepare the glassware for the italian espresso coffee 193|Combine espresso with almond milk and condensed milk|Add ice and vanilla syrup and mix until balanced|Finish using Blender|Serve the italian espresso coffee 193 immediately
194,Moroccan Black Tea Tea 194,Tea,Tea,Beginner,5,7,,"black tea:231ml,hot water:281ml,honey:68g,ginger:7g,cardamom:11g",Prepare the glassware for the moroccan black tea tea 194|Combine black tea with hot water and honey|Add ginger and cardamom and mix until balanced|Finish using a serving glass|Serve the moroccan black tea tea 194 immediately
195,Tropical Milk Smoothie 195,Smoothie,Smoothie,Beginner,19,24,Blender,"milk:231ml,oats:60g,pineapple:115g,peanut butter:85g,honey:9g",Prepare the glassware for the tropical milk smoothie 195|Combine milk with oats and pineapple|Add peanut butter and honey and mix until balanced|Finish using Blender|Serve the tropical milk smoothie 195 immediately
196,Latin Whiskey Cocktail 196,Cocktail,Cocktail,Beginner,18,26,,"whiskey:56g,tonic water:79ml,orange juice:137ml,passion fruit:16g,mint:4g",Prepare the glassware for the latin whiskey cocktail 196|Combine whiskey with tonic water and orange juice|Add passion fruit and mint and mix until balanced|Finish using a serving glass|Serve the latin whiskey cocktail 196 immediately
197,European Orange Juice Mocktail 197,Mocktail,Mocktail,Intermediate,7,15,Stove,"orange juice:65ml,mint:19g,honey:70g,mango:155g,strawberry:73g",Prepare the glassware for the european orange juice mocktail 197|Combine orange juice with mint and honey|Add mango and strawberry and mix until balanced|Finish using Stove|Serve the european orange juice mocktail 197 immediately
198,Global Instant Coffee Coffee 198,Coffee,Coffee,Beginner,9,11,Blender,"instant coffee:162ml,almond milk:95ml,water:101ml,ice:143g,cinnamon:13g",Prepare the glassware for the global instant coffee coffee 198|Combine instant coffee with almond milk and water|Add ice and cinnamon and mix until balanced|Finish using Blender|Serve the global instant coffee coffee 198 immediately
199,Indian Green Tea Tea 199,Tea,Tea,Intermediate,8,16,Blender,"green tea:32ml,lemon juice:207ml,mint:10g,orange peel:85g,ice:180g",Prepare the glassware for the indian green tea tea 199|Combine green tea with lemon juice and mint|Add orange peel and ice and mix until balanced|Finish using Blender|Serve the indian green tea tea 199 immediately
200,Tropical Almond Milk Smoothie 200,Smoothie,Smoothie,Beginner,14,23,Blender,"almond milk:65ml,pineapple:210g,berries:138g,mint:18g,peanut butter:62g",Prepare the glassware for the tropical almond milk smoothie 200|Combine almond milk with pineapple and berries|Add mint and peanut butter and mix until balanced|Finish using Blender|Serve the tropical almond milk smoothie 200 immediately
201,Nordic Gin Cocktail 201,Cocktail,Cocktail,Intermediate,15,30,"Blender,Stove","gin:84g,ginger beer:4g,lime juice:133ml,passion fruit:36g,cucumber:25g","Prepare the glassware for the nordic gin cocktail 201|Combine gin with ginger beer and lime juice|Add passion fruit and cucumber and mix until balanced|Finish using Blender, Stove|Serve the nordic gin cocktail 201 immediately"
202,Indian Apple Juice Mocktail 202,Mocktail,Mocktail,Intermediate,18,19,,"apple juice:68ml,honey:50g,lime juice:293ml,cucumber:111g,strawberry:84g",Prepare the glassware for the indian apple juice mocktail 202|Combine apple juice with honey and lime juice|Add cucumber and strawberry and mix until balanced|Finish using a serving glass|Serve the indian apple juice mocktail 202 immediately
203,Global Espresso Coffee 203,Coffee,Coffee,Intermediate,20,30,,"espresso:26ml,water:202ml,milk:189ml,cocoa:12g,ice:203g",Prepare the glassware for the global espresso coffee 203|Combine espresso with water and milk|Add cocoa and ice and mix until balanced|Finish using a serving glass|Serve the global espresso coffee 203 immediately
204,Japanese Green Tea Tea 204,Tea,Tea,Beginner,16,31,Blender,"green tea:117ml,hot water:262ml,mint:5g,ice:202g,rose petals:59g",Prepare the glassware for the japanese green tea tea 204|Combine green tea with hot water and mint|Add ice and rose petals and mix until balanced|Finish using Blender|Serve the japanese green tea tea 204 immediately
205,Tropical Almond Milk Smoothie 205,Smoothie,Smoothie,Beginner,10,13,Blender,"almond milk:189ml,spinach:79g,pineapple:119g,ginger:10g,cocoa:8g",Prepare the glassware for the tropical almond milk smoothie 205|Combine almond milk with spinach and pineapple|Add ginger and cocoa and mix until balanced|Finish using Blender|Serve the tropical almond milk smoothie 205 immediately
206,Latin Vodka Cocktail 206,Cocktail,Cocktail,Pro,8,23,,"vodka:25g,soda water:116ml,lemon juice:279ml,cucumber:180g,pineapple:113g",Prepare the glassware for the latin vodka cocktail 206|Combine vodka with soda water and lemon juice|Add cucumber and pineapple and mix until balanced|Finish using a serving glass|Serve the latin vodka cocktail 206 immediately
207,Middle Eastern Apple Juice Mocktail 207,Mocktail,Mocktail,Intermediate,20,33,Blender,"apple juice:280ml,lemon juice:196ml,ginger:16g,watermelon:85ml,pomegranate:6g",Prepare the glassware for the middle eastern apple juice mocktail 207|Combine apple juice with lemon juice and ginger|Add watermelon and pomegranate and mix until balanced|Finish using Blender|Serve the middle eastern apple juice mocktail 207 immediately
208,Nordic Drip Coffee Coffee 208,Coffee,Coffee,Beginner,13,27,Espresso Machine,"drip coffee:266ml,condensed milk:255ml,milk:115ml,cocoa:5g,vanilla syrup:151ml",Prepare the glassware for the nordic drip coffee coffee 208|Combine drip coffee with condensed milk and milk|Add cocoa and vanilla syrup and mix until balanced|Finish using Espresso Machine|Serve the nordic drip coffee coffee 208 immediately
209,Chinese Oolong Tea Tea 209,Tea,Tea,Intermediate,9,18,Blender,"oolong tea:274ml,lemon juice:249ml,honey:9g,ginger:7g,orange peel:70g",Prepare the glassware for the chinese oolong tea tea 209|Combine oolong tea with lemon juice and honey|Add ginger and orange peel and mix until balanced|Finish using Blender|Serve the chinese oolong tea tea 209 immediately
210,Mediterranean Milk Smoothie 210,Smoothie,Smoothie,Intermediate,5,12,Blender,"milk:81ml,spinach:90g,banana:196g,chia seeds:16g,honey:65g",Prepare the glassware for the mediterranean milk smoothie 210|Combine milk with spinach and banana|Add chia seeds and honey and mix until balanced|Finish using Blender|Serve the mediterranean milk smoothie 210 immediately
211,Latin Whiskey Cocktail 211,Cocktail,Cocktail,Intermediate,12,15,,"whiskey:48g,orange juice:225ml,tonic water:294ml,mint:18g,pineapple:167g",Prepare the glassware for the latin whiskey cocktail 211|Combine whiskey with orange juice and tonic water|Add mint and pineapple and mix until balanced|Finish using a serving glass|Serve the latin whiskey cocktail 211 immediately
212,Global Coconut Water Mocktail 212,Mocktail,Mocktail,Intermediate,15,17,Blender,"coconut water:188ml,honey:85g,mint:5g,basil:10g,watermelon:175ml",Prepare the glassware for the global coconut water mocktail 212|Combine coconut water with honey and mint|Add basil and watermelon and mix until balanced|Finish using Blender|Serve the global coconut water mocktail 212 immediately
213,Vietnamese Espresso Coffee 213,Coffee,Coffee,Beginner,14,20,,"espresso:177ml,condensed milk:97ml,oat milk:258ml,vanilla syrup:93ml,ice:190g",Prepare the glassware for the vietnamese espresso coffee 213|Combine espresso with condensed milk and oat milk|Add vanilla syrup and ice and mix until balanced|Finish using a serving glass|Serve the vietnamese espresso coffee 213 immediately
214,Japanese Herbal Tea Tea 214,Tea,Tea,Beginner,6,7,Stove,"herbal tea:65ml,mint:13g,hot water:161ml,ginger:14g,rose petals:50g",Prepare the glassware for the japanese herbal tea tea 214|Combine herbal tea with mint and hot water|Add ginger and rose petals and mix until balanced|Finish using Stove|Serve the japanese herbal tea tea 214 immediately
215,African Milk Smoothie 215,Smoothie,Smoothie,Intermediate,19,24,Blender,"milk:162ml,pineapple:183g,oats:26g,chia seeds:11g,cocoa:7g",Prepare the glassware for the african milk smoothie 215|Combine milk with pineapple and oats|Add chia seeds and cocoa and mix until balanced|Finish using Blender|Serve the african milk smoothie 215 immediately
216,Latin Vodka Cocktail 216,Cocktail,Cocktail,Pro,16,25,Blender,"vodka:62g,orange juice:30ml,tonic water:137ml,basil:8g,cucumber:135g",Prepare the glassware for the latin vodka cocktail 216|Combine vodka with orange juice and tonic water|Add basil and cucumber and mix until balanced|Finish using Blender|Serve the latin vodka cocktail 216 immediately
217,European Sparkling Water Mocktail 217,Mocktail,Mocktail,Intermediate,18,31,Blender,"sparkling water:162ml,lime juice:219ml,mint:12g,basil:4g,cucumber:163g",Prepare the glassware for the european sparkling water mocktail 217|Combine sparkling water with lime juice and mint|Add basil and cucumber and mix until balanced|Finish using Blender|Serve the european sparkling water mocktail 217 immediately
218,Italian Espresso Coffee 218,Coffee,Coffee,Intermediate,6,21,,"espresso:145ml,almond milk:264ml,water:168ml,brown sugar:7g,cocoa:6g",Prepare the glassware for the italian espresso coffee 218|Combine espresso with almond milk and water|Add brown sugar and cocoa and mix until balanced|Finish using a serving glass|Serve the italian espresso coffee 218 immediately
219,Chinese Oolong Tea Tea 219,Tea,Tea,Intermediate,11,11,Stove,"oolong tea:57ml,lemon juice:281ml,mint:2g,cinnamon:6g,ice:174g",Prepare the glassware for the chinese oolong tea tea 219|Combine oolong tea with lemon juice and mint|Add cinnamon and ice and mix until balanced|Finish using Stove|Serve the chinese oolong tea tea 219 immediately
220,Tropical Milk Smoothie 220,Smoothie,Smoothie,Beginner,11,23,Blender,"milk:200ml,berries:56g,banana:181g,cocoa:10g,mint:10g",Prepare the glassware for the tropical milk smoothie 220|Combine milk with berries and banana|Add cocoa and mint and mix until balanced|Finish using Blender|Serve the tropical milk smoothie 220 immediately
221,Mediterranean Whiskey Cocktail 221,Cocktail,Cocktail,Intermediate,11,16,,"whiskey:6g,ginger beer:18g,lemon juice:136ml,cucumber:50g,berry syrup:263ml",Prepare the glassware for the mediterranean whiskey cocktail 221|Combine whiskey with ginger beer and lemon juice|Add cucumber and berry syrup and mix until balanced|Finish using a serving glass|Serve the mediterranean whiskey cocktail 221 immediately
222,Indian Sparkling Water Mocktail 222,Mocktail,Mocktail,Beginner,7,15,Blender,"sparkling water:224ml,lemon juice:65ml,rose syrup:38ml,pomegranate:39g,mango:183g",Prepare the glassware for the indian sparkling water mocktail 222|Combine sparkling water with lemon juice and rose syrup|Add pomegranate and mango and mix until balanced|Finish using Blender|Serve the indian sparkling water mocktail 222 immediately
223,Italian Cold Brew Coffee Coffee 223,Coffee,Coffee,Intermediate,8,21,Blender,"cold brew coffee:125ml,almond milk:59ml,milk:154ml,ice:209g,cocoa:5g",Prepare the glassware for the italian cold brew coffee coffee 223|Combine cold brew coffee with almond milk and milk|Add ice and cocoa and mix until balanced|Finish using Blender|Serve the italian cold brew coffee coffee 223 immediately
224,Indian Green Tea Tea 224,Tea,Tea,Beginner,17,32,Blender,"green tea:37ml,hot water:193ml,mint:8g,orange peel:16g,cinnamon:6g",Prepare the glassware for the indian green tea tea 224|Combine green tea with hot water and mint|Add orange peel and cinnamon and mix until balanced|Finish using Blender|Serve the indian green tea tea 224 immediately
225,Mediterranean Coconut Water Smoothie 225,Smoothie,Smoothie,Beginner,11,22,Blender,"coconut water:187ml,banana:215g,berries:129g,cocoa:11g,chia seeds:3g",Prepare the glassware for the mediterranean coconut water smoothie 225|Combine coconut water with banana and berries|Add cocoa and chia seeds and mix until balanced|Finish using Blender|Serve the mediterranean coconut water smoothie 225 immediately
226,Asian Vodka Cocktail 226,Cocktail,Cocktail,Beginner,13,25,"Blender,Stove","vodka:58g,tonic water:265ml,lemon juice:201ml,passion fruit:52g,cucumber:202g","Prepare the glassware for the asian vodka cocktail 226|Combine vodka with tonic water and lemon juice|Add passion fruit and cucumber and mix until balanced|Finish using Blender, Stove|Serve the asian vodka cocktail 226 immediately"
227,Indian Sparkling Water Mocktail 227,Mocktail,Mocktail,Beginner,14,22,,"sparkling water:191ml,mint:10g,lime juice:122ml,mango:134g,basil:14g",Prepare the glassware for the indian sparkling water mocktail 227|Combine sparkling water with mint and lime juice|Add mango and basil and mix until balanced|Finish using a serving glass|Serve the indian sparkling water mocktail 227 immediately
228,Latin Cold Brew Coffee Coffee 228,Coffee,Coffee,Beginner,15,26,Espresso Machine,"cold brew coffee:214ml,condensed milk:286ml,oat milk:134ml,vanilla syrup:139ml,cocoa:4g",Prepare the glassware for the latin cold brew coffee coffee 228|Combine cold brew coffee with condensed milk and oat milk|Add vanilla syrup and cocoa and mix until balanced|Finish using Espresso Machine|Serve the latin cold brew coffee coffee 228 immediately
229,Japanese Oolong Tea Tea 229,Tea,Tea,Beginner,19,19,,"oolong tea:266ml,honey:38g,milk:62ml,ginger:4g,rose petals:30g",Prepare the glassware for the japanese oolong tea tea 229|Combine oolong tea with honey and milk|Add ginger and rose petals and mix until balanced|Finish using a serving glass|Serve the japanese oolong tea tea 229 immediately
230,Mediterranean Milk Smoothie 230,Smoothie,Smoothie,Beginner,14,20,Blender,"milk:205ml,banana:168g,mango:131g,mint:20g,honey:84g",Prepare the glassware for the mediterranean milk smoothie 230|Combine milk with banana and mango|Add mint and honey and mix until balanced|Finish using Blender|Serve the mediterranean milk smoothie 230 immediately
231,Asian Gin Cocktail 231,Cocktail,Cocktail,Intermediate,6,8,"Blender,Stove","gin:37g,soda water:110ml,lime juice:164ml,pineapple:193g,basil:5g","Prepare the glassware for the asian gin cocktail 231|Combine gin with soda water and lime juice|Add pineapple and basil and mix until balanced|Finish using Blender, Stove|Serve the asian gin cocktail 231 immediately"
232,Indian Pineapple Juice Mocktail 232,Mocktail,Mocktail,Beginner,14,27,,"pineapple juice:175ml,lime juice:106ml,lemon juice:281ml,mango:113g,cucumber:28g",Prepare the glassware for the indian pineapple juice mocktail 232|Combine pineapple juice with lime juice and lemon juice|Add mango and cucumber and mix until balanced|Finish using a serving glass|Serve the indian pineapple juice mocktail 232 immediately
233,Latin Instant Coffee Coffee 233,Coffee,Coffee,Beginner,7,16,Blender,"instant coffee:93ml,almond milk:131ml,water:166ml,cardamom:17g,cocoa:17g",Prepare the glassware for the latin instant coffee coffee 233|Combine instant coffee with almond milk and water|Add cardamom and cocoa and mix until balanced|Finish using Blender|Serve the latin instant coffee coffee 233 immediately
234,Indian Green Tea Tea 234,Tea,Tea,Intermediate,14,23,,"green tea:151ml,mint:16g,hot water:60ml,cardamom:19g,cinnamon:2g",Prepare the glassware for the indian green tea tea 234|Combine green tea with mint and hot water|Add cardamom and cinnamon and mix until balanced|Finish using a serving glass|Serve the indian green tea tea 234 immediately
235,Asian Coconut Water Smoothie 235,Smoothie,Smoothie,Intermediate,15,28,Blender,"coconut water:121ml,banana:136g,pineapple:48g,peanut butter:60g,ginger:9g",Prepare the glassware for the asian coconut water smoothie 235|Combine coconut water with banana and pineapple|Add peanut butter and ginger and mix until balanced|Finish using Blender|Serve the asian coconut water smoothie 235 immediately
236,Tropical Gin Cocktail 236,Cocktail,Cocktail,Pro,5,9,,"gin:43g,lime juice:237ml,soda water:65ml,cucumber:86g,passion fruit:7g",Prepare the glassware for the tropical gin cocktail 236|Combine gin with lime juice and soda water|Add cucumber and passion fruit and mix until balanced|Finish using a serving glass|Serve the tropical gin cocktail 236 immediately
237,Indian Sparkling Water Mocktail 237,Mocktail,Mocktail,Beginner,20,35,Blender,"sparkling water:265ml,ginger:9g,lime juice:195ml,watermelon:283ml,strawberry:34g",Prepare the glassware for the indian sparkling water mocktail 237|Combine sparkling water with ginger and lime juice|Add watermelon and strawberry and mix until balanced|Finish using Blender|Serve the indian sparkling water mocktail 237 immediately
238,Latin Cold Brew Coffee Coffee 238,Coffee,Coffee,Intermediate,20,26,Espresso Machine,"cold brew coffee:241ml,oat milk:186ml,condensed milk:228ml,ice:201g,cocoa:12g",Prepare the glassware for the latin cold brew coffee coffee 238|Combine cold brew coffee with oat milk and condensed milk|Add ice and cocoa and mix until balanced|Finish using Espresso Machine|Serve the latin cold brew coffee coffee 238 immediately
239,Japanese Black Tea Tea 239,Tea,Tea,Intermediate,9,22,Blender,"black tea:128ml,milk:284ml,mint:20g,rose petals:81g,ice:162g",Prepare the glassware for the japanese black tea tea 239|Combine black tea with milk and mint|Add rose petals and ice and mix until balanced|Finish using Blender|Serve the japanese black tea tea 239 immediately
240,American Yogurt Smoothie 240,Smoothie,Smoothie,Intermediate,19,22,Blender,"yogurt:85g,oats:44g,pineapple:155g,ginger:8g,chia seeds:14g",Prepare the glassware for the american yogurt smoothie 240|Combine yogurt with oats and pineapple|Add ginger and chia seeds and mix until balanced|Finish using Blender|Serve the american yogurt smoothie 240 immediately
241,Mediterranean Gin Cocktail 241,Cocktail,Cocktail,Pro,6,8,"Blender,Stove","gin:29g,soda water:265ml,ginger beer:14g,berry syrup:108ml,mint:13g","Prepare the glassware for the mediterranean gin cocktail 241|Combine gin with soda water and ginger beer|Add berry syrup and mint and mix until balanced|Finish using Blender, Stove|Serve the mediterranean gin cocktail 241 immediately"
242,Indian Orange Juice Mocktail 242,Mocktail,Mocktail,Beginner,12,15,Stove,"orange juice:58ml,lemon juice:67ml,mint:19g,pomegranate:72g,cucumber:87g",Prepare the glassware for the indian orange juice mocktail 242|Combine orange juice with lemon juice and mint|Add pomegranate and cucumber and mix until balanced|Finish using Stove|Serve the indian orange juice mocktail 242 immediately
243,Nordic Instant Coffee Coffee 243,Coffee,Coffee,Intermediate,6,10,Espresso Machine,"instant coffee:296ml,condensed milk:180ml,milk:22ml,cocoa:13g,cardamom:4g",Prepare the glassware for the nordic instant coffee coffee 243|Combine instant coffee with condensed milk and milk|Add cocoa and cardamom and mix until balanced|Finish using Espresso Machine|Serve the nordic instant coffee coffee 243 immediately
244,Japanese Oolong Tea Tea 244,Tea,Tea,Intermediate,8,15,Stove,"oolong tea:73ml,hot water:257ml,milk:243ml,ginger:17g,cardamom:11g",Prepare the glassware for the japanese oolong tea tea 244|Combine oolong tea with hot water and milk|Add ginger and cardamom and mix until balanced|Finish using Stove|Serve the japanese oolong tea tea 244 immediately
245,Mediterranean Yogurt Smoothie 245,Smoothie,Smoothie,Intermediate,8,21,Blender,"yogurt:63g,pineapple:128g,mango:147g,cocoa:3g,mint:3g",Prepare the glassware for the mediterranean yogurt smoothie 245|Combine yogurt with pineapple and mango|Add cocoa and mint and mix until balanced|Finish using Blender|Serve the mediterranean yogurt smoothie 245 immediately
246,Latin Vodka Cocktail 246,Cocktail,Cocktail,Pro,5,17,"Blender,Stove","vodka:31g,tonic water:85ml,ginger beer:15g,cucumber:96g,berry syrup:85ml","Prepare the glassware for the latin vodka cocktail 246|Combine vodka with tonic water and ginger beer|Add cucumber and berry syrup and mix until balanced|Finish using Blender, Stove|Serve the latin vodka cocktail 246 immediately"
247,Indian Coconut Water Mocktail 247,Mocktail,Mocktail,Intermediate,13,24,Stove,"coconut water:142ml,rose syrup:232ml,lemon juice:101ml,mango:153g,strawberry:88g",Prepare the glassware for the indian coconut water mocktail 247|Combine coconut water with rose syrup and lemon juice|Add mango and strawberry and mix until balanced|Finish using Stove|Serve the indian coconut water mocktail 247 immediately
248,Global Instant Coffee Coffee 248,Coffee,Coffee,Beginner,7,12,,"instant coffee:226ml,milk:236ml,oat milk:223ml,brown sugar:37g,cocoa:15g",Prepare the glassware for the global instant coffee coffee 248|Combine instant coffee with milk and oat milk|Add brown sugar and cocoa and mix until balanced|Finish using a serving glass|Serve the global instant coffee coffee 248 immediately
249,British Black Tea Tea 249,Tea,Tea,Beginner,20,31,,"black tea:85ml,milk:56ml,hot water:154ml,rose petals:13g,orange peel:29g",Prepare the glassware for the british black tea tea 249|Combine black tea with milk and hot water|Add rose petals and orange peel and mix until balanced|Finish using a serving glass|Serve the british black tea tea 249 immediately
250,Mediterranean Coconut Water Smoothie 250,Smoothie,Smoothie,Intermediate,8,12,Blender,"coconut water:159ml,banana:195g,pineapple:90g,peanut butter:85g,ginger:11g",Prepare the glassware for the mediterranean coconut water smoothie 250|Combine coconut water with banana and pineapple|Add peanut butter and ginger and mix until balanced|Finish using Blender|Serve the mediterranean coconut water smoothie 250 immediately
251,Asian Vodka Cocktail 251,Cocktail,Cocktail,Pro,12,20,"Blender,Stove","vodka:41g,orange juice:185ml,lemon juice:177ml,cucumber:117g,pineapple:100g","Prepare the glassware for the asian vodka cocktail 251|Combine vodka with orange juice and lemon juice|Add cucumber and pineapple and mix until balanced|Finish using Blender, Stove|Serve the asian vodka cocktail 251 immediately"
